"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","940","Stormy Blue - MED DK","3c5090","0"
"Anchor","Emb","246","Grass Green - VY DK","144c19","0"
"Anchor","Emb","939","Stormy Blue - MED","7982a9","0"
"Anchor","Emb","9159","Glacier Blue","b7dae4","0"
"Anchor","Emb","870","Amethyst - MED LT","ab92a8","0"
"Anchor","Emb","1031","Antique Blue - LT","c9dce3","0"
"Anchor","Emb","945","Harvest - MED","bea558","0"
"Anchor","Emb","95","Violet - VY LT","d7a7c9","0"
"Anchor","Emb","859","Laurel Green","8b9570","0"
"Anchor","Emb","840","Sage","3f6569","0"
"Anchor","Emb","1060",,"9ec6cd","0"
"Anchor","Emb","878","Pine - MED DK","2b5446","0"
"Anchor","Emb","837","Haze","9eb4a7","0"
"Anchor","Emb","843","Fern Green","8a8948","0"
"Anchor","Emb","846","Fern Green - DK","46410b","0"
"Anchor","Emb","847","Blue Mist - VY LT","d6ded7","0"
"Anchor","Emb","131","Blue - MED","3e5f9d","0"
"Anchor","Emb","123","Blueberry - DK","2c306a","0"
"Anchor","Emb","75","Antique Rose - MED LT","f285a3","0"
"Anchor","Emb","781","Blue Gray","537084","0"
"Anchor","Emb","79","Mauve","af435d","0"
"Anchor","Emb","1037","Sea Blue - VY LT","deebec","0"
"Anchor","Emb","77","Antique Rose - MED DK","b63063","0"
"Anchor","Emb","267","Avocado - MED","556f1f","0"
"Anchor","Emb","817","Avocado","3c6101","0"
"Anchor","Emb","162","Sapphire - MED DK","0b658c","0"
"Anchor","Emb","806","Steel Blue","688792","0"
"Anchor","Emb","816","Steel Blue","34444d","0"
"Anchor","Emb","855","Turf - MED","997f43","0"
"Anchor","Emb","871","Amethyst - MED LT","816175","0"
"Anchor","Emb","872","Amethyst - MED","744f68","0"
"Anchor","Emb","869","Amethyst - LT","c4b0b9","0"
"Anchor","Emb","941","Stormy Blue - VY DK","3c477d","0"
"Anchor","Emb","279","Olive Green - MED LT","bfaf4b","0"
"Anchor","Emb","928","Larkspur - LT","aad9df","0"
"Anchor","Emb","832","Sierra - MED","9d8360","0"
