"Maker","Prod","ID","Strands","Symbol"
"JP Coats","Emb","7160","2","B"
"JP Coats","Emb","1001","2","W"
"JP Coats","Emb","6227","2","*"
"JP Coats","Emb","2295","2","%"
"JP Coats","Emb","2332","2","#"
"JP Coats","Emb","2335","2","^"
"JP Coats","Emb","7022","2","$"
"JP Coats","Emb","5472","2","x"
