"Maker","Prod","ID","Strands","Symbol"
"Anchor","Emb","403","2","B"
"Anchor","Emb","1","2","W"
"Anchor","Emb","923","2","*"
"Anchor","Emb","288","2","%"
"Anchor","Emb","332","2","#"
"Anchor","Emb","1098","2","^"
"Anchor","Emb","176","2","$"
"Anchor","Emb","889","2","x"
